rank,anime,date,score
85,强风吹拂,2018年10月2日,8.3
86,航海王,1999年10月20日,8.3
87,百变之星,2003年4月3日,8.3
88,摇曳露营△ 第二季,2021年1月7日,8.3
89,冰海战记,2019年7月7日,8.3
90,3月的狮子,2016年10月8日,8.3
91,轻音少女 第二季,2010年4月6日,8.3
92,Code Geass 反叛的鲁路修R2,2008年4月6日,8.3
93,数码宝贝大冒险,1999年3月7日,8.3
94,我心里危险的东西 第二季,2024年1月6日,8.3
95,轻音少女 剧场版,2011年12月3日,8.3
96,BanG Dream! It's MyGO!!!!!,2023年6月29日,8.3
97,东京教父,2003年11月8日,8.3
98,棋魂,2001年10月10日,8.3
99,怪物,2004年4月6日,8.3
100,银魂' 延长战,2012年10月4日,8.3
101,来自深渊 烈日的黄金乡,2022年7月6日,8.3
102,少女革命剧场版 思春期默示录,1999年8月14日,8.3
103,棒球英豪,1985年3月24日,8.3
104,来自深渊,2017年7月7日,8.2
105,十二国记,2002年4月9日,8.3
106,蜡笔小新 呼风唤雨！大人帝国的反击,2001年4月21日,8.3
107,幸运星,2007年4月8日,8.2
108,爆漫王。3,2012年10月6日,8.3
109,JOJO的奇妙冒险 星尘斗士 埃及篇,2015年1月9日,8.2
110,虫师 特別篇 蚀日之翳,2014年1月4日,8.2
111,福星小子2 绮丽梦中人,1984年2月11日,8.3
112,星际牛仔 天国之扉,2001年9月1日,8.2
113,水星领航员 第二季,2006年4月3日,8.3
114,偶像大师,2011年7月7日,8.2
115,冰菓,2012年4月22日,8.2
116,摇曳露营△,2018年1月4日,8.2
117,赛博浪客,2022年9月13日,8.2
118,物怪,2007年7月12日,8.2
119,机器人总动员,2008年6月27日,8.2
120,太空丹迪 第二季,2014年7月6日,8.2
121,虫师 特别篇 铃之雫,2015年5月16日,8.2
122,皇家国教骑士团 OVA,2006年2月10日,8.2
123,永生之酒,2007年7月26日,8.2
124,悠哉日常大王 Nonstop,2021年1月10日,8.2
125,龙猫,1988年4月16日,8.2
126,来自新世界,2012年9月28日,8.2
127,钢之炼金术师,2003年10月4日,8.2
128,进击的巨人 第三季,2018年7月22日,8.2
129,星空清理者,2003年10月4日,8.2
130,新世纪福音战士剧场版 死与新生,1997年3月15日,8.2
131,猎人 OVA,2002年1月17日,8.2
132,龙珠,1986年2月26日,8.2
133,凉宫春日的忧郁,2006年4月2日,8.2
134,怪诞小镇 第二季,2014年8月1日,8.3
135,比宇宙更远的地方,2018年1月2日,8.2
136,歌牌情缘 第二季,2013年1月11日,8.2
137,攻壳机动队 STAND ALONE COMPLEX 笑面男,2005年10月23日,8.2
138,伤物语III 冷血篇,2017年1月6日,8.2
139,飞跃巅峰！,1988年10月7日,8.2
140,天元突破红莲螺岩 螺岩篇,2009年4月25日,8.2
141,水星领航员,2005年10月6日,8.2
142,战斗之魂Brave,2010年9月12日,8.5
143,昭和元禄落语心中,2016年1月8日,8.2
144,排球少年,2014年4月6日,8.2
145,欢迎加入NHK！,2006年7月9日,8.2
146,轻音少女,2009年4月2日,8.2
147,全金属狂潮 校园篇,2003年8月26日,8.2
148,物语系列 第二季,2013年7月6日,8.2
149,太阳之牙达格拉姆,1981年10月23日,8.5
150,夏目友人帐 参,2011年7月4日,8.2
151,魔卡少女樱,1998年4月7日,8.2
152,机动警察 NEW OVA,1990年11月22日,8.2
153,银魂°,2015年4月8日,8.2
154,电脑线圈,2007年5月12日,8.1
155,辉夜姬物语,2013年11月23日,8.1
156,水星领航员 OVA ～ARIETTA～,2007年9月21日,8.2
157,福音战士新剧场版：序,2007年9月1日,8.1
158,Fate/Zero,2011年10月1日,8.1
159,灵能百分百 第二季,2019年1月7日,8.1
160,高分少女 第二季,2019年10月25日,8.1
161,春宵苦短，少女前进吧！,2017年4月7日,8.1
162,终物语（下）,2017年8月12日,8.1
163,黄金神威 第三季,2020年10月5日,8.1
164,飞跃巅峰2！,2004年11月26日,8.1
165,龙珠Z,1989年4月26日,8.1
166,寒蝉鸣泣之时 解,2007年7月5日,8.1
167,回忆三部曲,1995年12月23日,8.1
168,灵能百分百 第三季,2022年10月5日,8.1
169,少女终末旅行,2017年10月6日,8.1
170,爆漫王。2,2011年10月1日,8.1
171,猎人,2011年10月2日,8.1
172,山水情,1988年3月21日,8.2
173,别对映像研出手！,2020年1月5日,8.1
174,进击的巨人,2013年4月6日,8.1
175,王牌投手 振臂高挥～夏日大会篇～,2010年4月1日,8.1
176,日常 ETV版,2012年1月7日,8.1
177,王牌投手 振臂高挥,2007年4月12日,8.1
178,剧场版 吹响！悠风号～誓言的终章～,2019年4月19日,8.1
179,心灵游戏,2004年8月7日,8.1
180,宇宙兄弟,2012年4月1日,8.1
181,悠久之翼2,2008年10月6日,8.1
182,攻壳机动队 S.A.C. 2nd GIG 个别的十一人,2006年1月27日,8.1
183,人狼,1999年11月17日,8.1
184,Heart Catch 光之美少女！,2010年2月7日,8.1
185,日本动画（人）博览会,2014年11月7日,8.1
186,明日之丈,1970年4月1日,8.2
187,奇诺之旅,2003年4月8日,8.1
188,剧场版 吹响！悠风号～想要传达的旋律～,2017年9月30日,8.1
189,老人与海,1999年7月3日,8.1
190,冰海战记 第二季,2023年1月9日,8.1
191,装甲骑兵VOTOMS,1983年4月1日,8.2
192,龙与虎,2008年10月1日,8.0
193,瑞克和莫蒂 第四季,2019年11月10日,8.1
194,妄想代理人,2004年2月2日,8.1
195,怪医黑杰克 OVA,1993年12月21日,8.1
196,剧场版 魔法少女小圆 [后篇] 永远的物语,2012年10月13日,8.1
197,游戏人生 零,2017年7月15日,8.0
198,降世神通：最后的气宗 第三季,2007年9月21日,8.1
199,寒蝉鸣泣之时,2006年4月4日,8.0
200,斩服少女,2013年10月3日,8.0
201,命运石之门 0,2018年4月11日,8.0
202,攻壳机动队 S.A.C. SSS 3D,2011年3月26日,8.1
203,一拳超人,2015年10月4日,8.0
204,剧场版 空之境界 第七章 杀人考察（后）,2009年8月8日,8.0
205,交响诗篇,2005年4月17日,8.0
206,超时空要塞 可曾记得爱,1984年7月21日,8.1
207,相聚一刻,1986年3月26日,8.1
208,悠哉日常大王 Repeat,2015年7月6日,8.0
209,小魔女DoReMi 大合奏,2002年2月3日,8.2
210,四叶游戏,2009年4月5日,8.1
211,凉宫春日的忧郁 2009,2009年4月2日,8.0
212,祖先大人万万岁,1989年8月5日,8.1
213,剑风传奇,1997年10月7日,8.1
214,海马,2008年4月10日,8.0
215,百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,2006年1月27日,8.1
216,回转企鹅罐,2011年7月7日,8.0
217,JOJO的奇妙冒险 星尘斗士,2014年4月4日,8.0
218,续 夏目友人帐,2009年1月5日,8.0
219,娜娜,2006年4月5日,8.0
220,吊带袜天使,2010年10月1日,8.0
221,歌牌情缘,2011年10月4日,8.0
222,黑客帝国动画版,2003年6月3日,8.0
223,夏目友人帐,2008年7月7日,8.0
224,红猪,1992年7月18日,8.0
225,狼的孩子雨和雪,2012年7月21日,8.0
226,你的名字。,2016年8月26日,8.0
227,悠哉日常大王,2013年10月7日,8.0
228,进击的巨人 第二季,2017年4月1日,8.0
229,机动战士高达 THE ORIGIN,2015年4月24日,8.0
230,擅长捉弄的高木同学 第三季,2022年1月7日,8.0
231,剧场版 悠哉日常大王 Vacation,2018年8月25日,8.0
232,AIR,2005年1月6日,8.0
233,校园迷糊大王,2004年10月5日,8.0
234,夏目友人帐 肆,2012年1月2日,8.0
235,白兔糖,2011年7月7日,8.0
236,向山进发 Next Summit,2022年10月4日,8.0
237,银之匙 Silver Spoon 第二季,2014年1月9日,8.0
238,勇者王GaoGaiGar Final,2000年1月21日,8.1
239,小魔女DoReMi 童年秘密篇,2004年6月26日,8.2
240,四月是你的谎言,2014年10月9日,8.0
241,爆漫王。,2010年10月2日,8.0
242,VOY@GER,2021年8月25日,8.0
243,小马宝莉：友谊就是魔法 第一季,2010年10月10日,8.0
244,辉夜大小姐想让我告白-初吻不会结束-,2022年12月17日,8.0
245,萩萩公主,2002年8月16日,8.1
246,太空丹迪,2014年1月5日,8.0
247,狮子王,1994年6月15日,8.0
248,秒速5厘米,2007年3月3日,8.0
249,种树的牧羊人,1988-06-11,8.1
250,机动战舰抚子号,1996年10月1日,8.0
251,吸血鬼猎人D：妖杀行,2000年8月25日,8.0
252,机动战士高达 第08MS小队,1996年1月25日,8.0
253,JOJO的奇妙冒险 黄金之风,2018年10月5日,8.0
254,蜡笔小新,1992年4月13日,8.0
255,黑礁 The Second Barrage,2006年10月2日,8.0
256,DARKER THAN BLACK -黑之契约者-,2007年4月5日,8.0
257,交响情人梦,2007年1月11日,8.0
258,赌博默示录,2007年10月2日,8.0
259,偶像大师 剧场版 向着光辉的彼岸！,2014年1月25日,8.0
260,悠久之翼,2007年10月6日,8.0
261,伤物语II 热血篇,2016年8月19日,8.0
262,降世神通：最后的气宗 第二季,2006年3月17日,8.0
263,重启咲良田,2017年4月5日,8.0
264,罗小黑战记 众生之门篇,2021年4月24日,7.9
265,死神 千年血战篇,2022年10月10日,8.0
266,剧场版 空之境界 第一章 俯瞰风景,2007年12月1日,7.9
267,小明和王猫,2000年1月1日,8.2
268,回忆积木小屋,2008年6月10日,8.0
269,剧场版 空之境界 第三章 痛觉残留,2008年2月9日,7.9
270,精灵守护者,2007年4月7日,8.0
271,寄生兽 生命的准则,2014年10月8日,7.9
272,来自深渊 深邃的魂之黎明,2020年1月17日,7.9
273,辉夜大小姐想让我告白-初吻不会结束-,2023年3月31日,7.9
274,NOMAD MEGALO BOX 2,2021年4月4日,7.9
275,无头骑士异闻录,2010年1月7日,7.9
276,宇宙战舰大和号2199,2013年4月7日,7.9
277,少女☆歌剧 Revue Starlight,2018年7月12日,7.9
278,无限的未知,1999年10月6日,7.9
279,失忆投捕,2024年4月9日,8.0
280,心理测量者,2012年10月11日,7.9
281,剧场版 魔法少女小圆 [前篇] 起始的物语,2012年10月6日,7.9
282,鼹鼠的故事,1957年,8.0
283,探险活宝 第九季,2017年9月17日,8.3
284,向阳素描 沙英・寻 毕业篇,2013年11月27日,8.0
285,男子高中生的日常,2012年1月9日,7.9
286,数码宝贝驯兽师之王,2001年4月1日,7.9
287,银之匙 Silver Spoon,2013年7月11日,7.9
288,蜘蛛侠：纵横宇宙,2023年6月2日,7.9
289,红线,2010年10月9日,7.9
290,怪诞小镇 第一季,2012年6月16日,7.9
291,天元突破红莲螺岩 红莲篇,2008年9月6日,7.9
292,麻辣教师GTO,1999年6月30日,7.9
293,86 -不存在的战区- 第2部分,2021年10月2日,7.9
294,GIRLS BAND CRY,2024年4月5日,7.9
295,JOJO的奇妙冒险,2012年10月5日,7.9
296,玲音,1998年7月6日,7.9
297,搞笑漫画日和,2005年2月7日,7.9
298,×××HOLiC◆继,2008年4月3日,7.9
299,宇宙骑士BLADE,1992年2月18日,7.9
300,海绵宝宝 第一季,1999年5月1日,7.9
301,续·终物语,2018年11月10日,7.9
302,剧场版 高达G之复国运动 Ⅳ 在激斗中呼唤爱,2022年7月22日,8.0
303,圣母在上 第3季,2006年11月29日,7.9
304,蓦然回首,2024年6月28日,8.1
305,机动战舰抚子号 暗黑王子,1998年8月8日,7.9
306,剑风传奇 黄金时代篇III 降临,2013年2月1日,7.9
307,异邦人 无皇刃谭,2007年9月29日,7.9
308,幻想曲2000,1999年12月17日,8.0
309,疯狂约会美丽都,2003-06-11,8.0
310,乌龙派出所,1996年6月16日,8.0
311,玉子爱情故事,2014年4月26日,7.9
312,伤物语I 铁血篇,2016年1月8日,7.9
313,少年同盟 2,2012年4月2日,7.9
314,魔卡少女樱 被封印的卡片,2000年7月15日,7.9
315,苍穹之法芙娜 EXODUS,2015年1月8日,7.9
316,月色真美,2017年4月6日,7.9
317,妖精森林的小不点,2018年1月12日,7.9
318,人类衰退之后,2012年7月1日,7.9
319,境界触发者 第三季,2021年10月9日,7.9
320,交响情人梦Finale,2010年1月14日,7.9
321,天体战士,2008年10月3日,7.9
322,剧场版 Fate/stay night [Heaven's Feel] III.spring song,2020年8月15日,7.9
323,机动警察,1989年10月11日,7.9
324,蜘蛛侠：平行宇宙,2018年12月14日,7.9
325,穿越时空的少女,2006年7月15日,7.9
326,游戏王－怪兽之决斗,2000年4月18日,7.9
327,机动战士高达 闪光的哈萨维,2021年6月11日,7.9
328,南方公园 第16季,2012年3月14日,8.0
329,天体战士 第2期,2009年10月3日,7.9
330,银魂剧场版 完结篇 万事屋永不落,2013年7月6日,7.9
331,鲁邦三世 卡里奥斯特罗之城,1979年12月15日,7.9
332,玛丽和马克思,2009年4月9日,7.9
333,飞出个未来 第6季,2010年6月24日,8.2
334,罗小黑战记,2011年3月17日,7.9
335,幸运星 OVA,2008年9月26日,7.9
336,监狱兔 第一季,2006年6月28日,7.9
337,超时空要塞Plus,1994年8月25日,7.9
338,剑豪生死斗,2007年7月19日,7.9
339,马男波杰克3,2016年7月22日,8.0
340,游戏王5D's,2008年4月2日,7.9
341,恶魔人 crybaby,2018年1月5日,7.9
342,侧耳倾听,1995年7月15日,7.9
343,阿基拉,1988年7月16日,7.9
344,飞出个未来 第1季,1999年3月28日,8.0
345,罗密欧的蓝天,1995年1月15日,8.1
346,来自深渊 漂泊之黄昏,2019年1月18日,7.9
347,无职转生～到了异世界就拿出真本事～,2021年1月10日,7.9
348,秀逗魔导士NEXT,1996年4月5日,7.9
349,勇者王GaoGaiGar Final Grand Glorious Gathering,2005年4月11日,8.0
350,高分少女,2018年7月13日,7.9
351,THE BIG-O,1999年10月13日,7.9
352,寻梦环游记,2017年11月22日,7.9
353,小马宝莉：友谊就是魔法 第二季,2011年9月17日,7.9
354,少女与战车 最终章 第4话,2023年10月6日,7.9
355,马男波杰克2,2015年7月17日,7.9
356,狼与香辛料,2008年1月8日,7.8
357,校园迷糊大王 二学期,2006年4月2日,7.9
358,苍穹之法芙娜 EXODUS 第2期,2015年10月2日,7.9
359,星游记,2011年10月30日,7.9
360,有顶天家族,2013年7月7日,7.9
361,我心里危险的东西,2023年4月1日,7.8
362,高分少女 EXTRA STAGE,2019年3月20日,7.9
363,RWBY预告片,2012年11月7日,7.9
364,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,2020年4月11日,7.8
365,玉响～毕业写真～,2015年5月8日,7.9
366,王立宇宙军 欧尼亚米斯之翼,1987年3月14日,7.8
367,鲁邦三世,2015年10月1日,7.9
368,哈尔的移动城堡,2004年11月20日,7.8
369,听到涛声,1993-05-05,7.8
370,魔法少女奈叶 The MOVIE 2nd A’s,2012年7月14日,7.9
371,机动战士高达,1979年4月7日,7.8
372,灵异E接触,2011年1月10日,7.8
373,JOJO的奇妙冒险 不灭钻石,2016年4月1日,7.8
374,希德尼娅的骑士 第九惑星战役,2015年4月10日,7.8
375,灵能百分百,2016年7月11日,7.8
376,银魂 〜无论什么事开始虽然重要但伸个懒腰的话也不错〜,2005年9月24日,7.9
377,夏日大作战,2009年8月1日,7.8
378,伪物语,2012年1月7日,7.8
379,全金属狂潮 The Second Raid,2005年7月13日,7.8
380,我的三体 罗辑传,2016年6月9日,7.8
381,少年同盟,2011年10月3日,7.8
382,小马宝莉：友谊就是魔法 第四季,2013年11月23日,7.9
383,机动警察 东京毁灭战,1989年7月15日,7.8
384,赌博默示录 破戒录篇,2011年4月5日,7.8
385,战国鬼才传,2011年4月7日,7.9
386,剧场版 空之境界 第二章 杀人考察（前）,2007年12月29日,7.8
387,黑礁,2006年4月8日,7.8
388,相合之物,2022年4月6日,7.8
389,神枪少女,2003年10月8日,7.8
390,超时空要塞,1982年10月3日,7.8
391,俗・再见绝望先生,2008年1月5日,7.8
392,佐贺偶像是传奇,2018年10月4日,7.8
393,GOTCHA！,2020年9月29日,7.9
394,天国大魔境,2023年4月1日,7.8
395,马男波杰克4,2017年9月8日,8.0
396,迷宫饭,2024年1月4日,7.8
397,狼与香辛料 第二季,2009年7月8日,7.8
398,月刊少女野崎君,2014年7月6日,7.8
399,超智游戏,2008年10月7日,7.8
400,辉夜大小姐想让我告白～天才们的恋爱头脑战～,2019年1月12日,7.8
401,剧场版 Fate/stay night [Heaven's Feel] II.lost butterfly,2019年1月12日,7.8
402,AIR 夏季篇,2005年8月28日,7.8
403,银魂剧场版 新译红樱篇,2010年4月24日,7.8
404,南方公园 第17季,2013年9月25日,7.9
405,黄色潜水艇,1968-07-17,8.1
406,南方公园 第15季,2011年4月27日,7.9
407,终将成为你,2018年10月5日,7.8
408,战斗妖精雪风,2002年8月25日,7.8
409,剧场版 空之境界 未来福音,2013年9月28日,7.8
410,搞笑漫画日和3,2008年3月17日,7.8
411,草莓棉花糖,2005年7月14日,7.8
412,街角魔族 2丁目,2022年4月7日,7.8
413,古立特宇宙,2023年3月24日,7.8
414,现视研2,2007年10月9日,7.8
415,悠哉日常大王 Nonstop OAD,2022年3月23日,7.8
416,第一神拳,2000年10月3日,7.9
417,名侦探柯南 贝克街的亡灵,2002年4月20日,7.8
418,搞笑漫画日和2,2006年8月5日,7.8
419,美妙旋律 Rainbow Live,2013年4月6日,8.0
420,圣母在上 第4季,2009年1月3日,7.8
421,精灵宝可梦,1997年4月1日,7.8
422,高智能方程式：SIN,1998年12月21日,7.8
423,画江湖之不良人 第六季,2023年3月2日,7.9
424,命运石之门 负荷领域的既视感,2013年4月20日,7.8
425,苍穹之法芙娜 RIGHT OF LEFT,2005年12月29日,7.8
426,李献计历险记,2009年12月5日,7.8
427,电影 Star☆Twinkle 光之美少女 满怀思念的星之歌,2019年10月19日,7.9
428,×××HOLiC,2006年4月6日,7.8
429,阿滋漫画大王,2002年4月8日,7.8
430,向阳素描×蜂窝,2012年10月4日,7.8
431,银河铁道999,1978年9月14日,7.9
432,少女与战车 最终章 第1话,2017年12月9日,7.8
433,女仆咖啡厅,2010年10月7日,7.8
434,魔术师,2010年6月16日,7.9
435,蓝宝石之谜,1990年4月13日,7.8
436,夏娃的时间 剧场版,2010年3月6日,7.8
437,希德尼娅的骑士,2014年4月10日,7.8
438,水星领航员 The BENEDIZIONE,2021年12月3日,7.8
439,拥抱！光之美少女,2018年2月4日,7.8
440,有顶天家族 第二季,2017年4月9日,7.8
441,【我推的孩子】Mother and Children,2023年3月17日,7.8
442,夏娃的时间,2008年8月1日,7.8
443,在这世界(更多一些)的角落,2019年12月20日,7.8
444,TIGER & BUNNY,2011年4月2日,7.8
445,三千里寻母记,1976年1月4日,8.0
446,铳墓,2003年10月6日,7.8
447,葫芦兄弟,1986年,7.8
448,×××HOLiC 笼,2010年4月23日,7.8
449,星界的纹章,1999年1月12日,7.8
450,热带雨林的爆笑生活,2001年4月3日,7.8
451,再见绝望先生,2007年7月7日,7.8
452,花园墙外,2014年11月3日,7.9
453,忏・再见绝望先生,2009年7月4日,7.8
454,南方公园 第14季,2010年3月17日,7.9
455,现视研,2004年10月10日,7.8
456,魔法少女奈叶A's,2005年10月1日,7.8
457,猎人 OVA2 贪婪大陆,2003年2月5日,7.8
458,圣母在上 春,2004年7月7日,7.8
459,魔女宅急便,1989年7月29日,7.8
460,偶像大师 灰姑娘女孩 U149,2023年4月5日,7.8
461,对话的维度,1982,7.9
462,降世神通：最后的气宗 第一季,2005年2月21日,7.8
463,秀逗魔导士,1995年4月7日,7.8
464,跃动青春,2023年4月4日,7.7
465,兽娘动物园,2017年1月10日,7.8
466,热带雨林的爆笑生活DELUXE,2002年8月25日,7.8
467,热带雨林的爆笑生活FINAL,2003年12月21日,7.8
468,剧场版 空之境界 第四章 伽蓝之洞,2008年5月24日,7.7
469,幽游白书,1992年10月10日,7.8
470,最终流放,2003年4月7日,7.8
471,小马宝莉：友谊就是魔法 第五季,2015年4月4日,7.8
472,放浪男孩,2011年1月13日,7.8
473,猎人 OVA3 贪婪大陆 最终季,2004年2月18日,7.8
474,马男波杰克6 下,2020年1月31日,8.0
475,马男波杰克5,2018年9月14日,7.9
476,橙路 再回到往日,1988年10月8日,7.9
477,马男波杰克,2014年8月22日,7.8
478,终物语,2015年10月3日,7.7
479,魔法之星爱美 蝉时雨,1986年9月28日,7.9
480,圣母在上,2004年1月7日,7.8
481,佐贺偶像是传奇 复仇,2021年4月8日,7.7
482,漂流少年,2021年7月15日,7.7
483,金田一少年事件簿,1997年4月7日,7.8
484,异种族风俗娘评鉴指南,2020年1月11日,7.7
485,凡尔赛玫瑰,1979年10月10日,7.8
486,Kanon,2006年10月5日,7.7
487,东方活动写真馆,2009年4月26日,7.8
488,心理测量者 新编集版,2014年7月10日,7.7
489,Fate/Grand Order Memorial Movie 2023,2023年7月30日,7.8
490,狱・再见绝望先生,2008年10月17日,7.8
491,小马宝莉：友谊就是魔法 第三季,2012年11月10日,7.8
492,少女与战车 最终章 第2话,2019年6月15日,7.7
493,蜡笔小新 呼风唤雨！战国大合战,2002年4月20日,7.8
494,×××HOLiC・笼 徒梦,2011年3月9日,7.7
495,爱、死亡 & 机器人,2019年3月15日,7.7
496,平成狸合战,1994年7月16日,7.7
497,摇滚新乐团,2004年10月6日,7.8
498,黑礁 Roberta’s Blood Trail,2010年7月17日,7.7
499,大～集合！小魔女DoReMi,2001年2月4日,7.9
500,查理布朗和史努比,1983年9月17日,7.8
501,紫罗兰永恒花园 特别编集版,2021年10月29日,7.8
502,哪吒闹海,1979年5月19日,7.7
503,斗牌传说,2005年10月4日,7.7
504,蝙蝠侠：黑暗骑士归来（下）,2013-01-29,7.8
505,悲伤的贝拉多娜,1973年6月30日,7.8
506,火柴人 VS 数学,2023年6月24日,7.9
507,飞出个未来 第2季,1999年11月21日,7.9
508,向阳素描×365,2008年7月3日,7.7
509,机动战士高达 剧场版III 相逢在宇宙,1982年3月13日,7.7
510,圣斗士星矢 冥王十二宫编,2003年1月25日,7.7
511,Go! Princess 光之美少女,2015年2月1日,7.8
512,凡人修仙传 新年番,2023年11月25日,7.8
513,超时空要塞Plus 剧场版,1995年10月7日,7.8
514,元气囝仔,2014年7月5日,7.7
515,向山进发 第三季,2018年7月2日,7.7
516,数码宝贝大冒险 我们的战争游戏!,2000年3月4日,7.7
517,九色鹿,1981年,7.7
518,重金属摇滚双面人,2008年8月8日,7.7
519,空中杀手,2008年8月2日,7.7
520,擅长捉弄的高木同学 第二季,2019年7月7日,7.7
521,头文字D,1998年4月19日,7.7
522,探险活宝 第五季,2012年11月12日,7.9
523,赛马娘 Pretty Derby 新时代之门,2024年5月24日,8.0
524,日常 OAD,2011年3月12日,7.7
525,蜡笔小新 决一胜负！逆袭的机器人爸爸,2014年4月19日,7.7
526,真盖塔 世界最后之日,1998年8月25日,7.7
527,勇者王GaoGaiGar,1997年2月1日,7.8
528,飞出个未来 第7季,2012年6月20日,8.0
529,阿尔卑斯山的少女海蒂,1974年1月6日,7.8
530,CLANNAD 另一个世界 智代篇,2008年7月16日,7.7
531,摇曳百合♪♪,2012年7月2日,7.7
532,交响情人梦 巴黎篇,2008年10月9日,7.7
533,鲁邦三世 第二期,1977年10月3日,7.9
534,悠哉日常大王 Repeat OAD,2016年9月23日,7.7
535,POKÉTOON动画系列,2020年6月5日,7.8
536,黄金神威 第二季,2018年10月8日,7.7
537,草莓棉花糖 OVA 第1期,2007年2月23日,7.7
538,宝石之国,2017年10月7日,7.7
539,和巴什尔跳华尔兹,2008年5月13日,7.8
540,监狱兔 第四季,2011年3月1日,7.7
541,探险活宝 第八季,2016年3月26日,8.0
542,我的邻居山田君,1999年7月17日,7.7
543,猫物语（黑）,2012年12月31日,7.7
544,齐木楠雄的灾难,2016年7月10日,7.7
545,排球少年 TO THE TOP 第二期,2020年10月2日,7.7
